neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
Centrum-West;5.237.486;489.338;Shared room;99;2;340;307;40
De Pijp - Rivierenbuurt;5.235.082;48.877;Entire home/apt;190;6;33;67;2
Westerpark;52.381.615;4.877.059;Private room;79;3;375;3;34
Centrum-Oost;523.643;489.533;Entire home/apt;153;2;93;0;0
Oud-Oost;5.235.781;491.027;Private room;129;3;47;160;0
Westerpark;5.237.998;486.959;Private room;126;3;127;292;16
Slotervaart;5.236.369;483.861;Private room;69;2;585;8;70
Centrum-Oost;5.236.181;488.783;Private room;136;3;41;0;0
De Pijp - Rivierenbuurt;5.235.099;4.886.627;Private room;149;3;282;110;39
Centrum-West;5.237.811;489.196;Entire home/apt;250;4;35;0;6
Slotervaart;5.235.166;483.893;Entire home/apt;289;6;8;15;2
Oud-Noord;5.238.355;490.951;Private room;107;2;655;220;72
Westerpark;5.238.624;487.244;Entire home/apt;141;3;65;210;0
De Baarsjes - Oud-West;5.236.926;486.997;Entire home/apt;295;4;16;0;0
Westerpark;5.238.865;488.392;Entire home/apt;986;2;47;345;3
Zuid;523.543;488.103;Entire home/apt;143;4;55;0;5
Centrum-Oost;5.236.377;491.788;Entire home/apt;595;3;37;245;2
Westerpark;5.238.912;487.907;Entire home/apt;150;1;290;93;4
Oud-Oost;5.236.227;492.893;Entire home/apt;200;4;23;2;1
De Baarsjes - Oud-West;5.236.051;486.451;Entire home/apt;291;7;112;194;18
Zuid;5.234.746;487.559;Private room;79;1;493;27;37
De Baarsjes - Oud-West;5.236.324;48.679;Entire home/apt;392;4;34;267;4
Centrum-West;5.238.302;48.869;Entire home/apt;166;7;53;233;6
IJburg - Zeeburgereiland;5.236.064;497.643;Entire home/apt;135;5;85;250;3
Centrum-West;5.237.228;489.668;Private room;188;2;384;302;50
Oud-Oost;5.235.764;49.067;Entire home/apt;189;3;384;6;45
Bos en Lommer;5.237.729;486.053;Entire home/apt;124;7;15;0;3
Bos en Lommer;5.237.839;484.853;Entire home/apt;200;2;93;0;0
Centrum-Oost;5.236.256;489.809;Private room;195;3;26;58;7
Centrum-Oost;5.236.218;489.768;Private room;208;3;19;51;8
De Baarsjes - Oud-West;5.236.688;487.684;Entire home/apt;110;2;71;1;5
Oud-Oost;5.235.696;492.971;Entire home/apt;180;3;17;0;0
Osdorp;5.235.622;479.544;Private room;80;2;155;2;0
Centrum-Oost;5.236.474;490.273;Entire home/apt;180;4;103;0;8
