neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
Watergraafsmeer;5.234.872;491.522;Entire home/apt;130;30;0;0;0
Noord-West;5.241.631;489.452;Entire home/apt;170;2;13;253;8
Slotervaart;5.235.584;482.096;Entire home/apt;150;2;17;334;11
Centrum-West;5.237.773;4.883;Entire home/apt;200;2;14;0;3
De Baarsjes - Oud-West;5.236.541;487.651;Entire home/apt;680;4;9;39;2
Oud-Oost;5.235.794;490.766;Private room;147;2;161;93;78
Centrum-West;5.237.214;487.594;Private room;250;3;10;0;4
Centrum-West;52.370.029;4.877.655;Private room;102;3;117;5;56
De Aker - Nieuw Sloten;5.234.392;479.236;Private room;75;1;5;0;2
Oud-Oost;5.235.514;492.545;Private room;96;2;2;0;0
De Baarsjes - Oud-West;5.236.631;487.491;Private room;84;2;81;6;47
Noord-West;5.242.476;488.693;Entire home/apt;300;2;51;87;36
Oud-Noord;5.238.578;490.176;Entire home/apt;87;75;0;312;0
Geuzenveld - Slotermeer;5.238.132;480.623;Private room;120;1;68;40;30
De Baarsjes - Oud-West;5.236.665;487.422;Entire home/apt;152;3;15;0;2
De Baarsjes - Oud-West;5.236.157;485.957;Entire home/apt;336;4;16;1;3
Oud-Oost;5.235.602;490.959;Entire home/apt;180;4;6;0;2
Oud-Oost;5.236.046;491.517;Entire home/apt;200;1;46;87;8
De Baarsjes - Oud-West;5.236.262;485.827;Private room;126;1;79;117;58
Oud-Oost;5.235.759;493.209;Entire home/apt;165;4;11;5;4
De Pijp - Rivierenbuurt;5.235.728;489.703;Entire home/apt;233;2;11;12;11
Westerpark;5.237.497;487.294;Entire home/apt;300;3;19;0;8
De Pijp - Rivierenbuurt;5.235.675;490.002;Hotel room;154;2;54;220;25
Centrum-West;52.370.358;4.877.599;Private room;112;3;122;5;62
Buitenveldert - Zuidas;5.233.163;488.792;Entire home/apt;395;4;11;39;3
Slotervaart;523.711;483.549;Hotel room;75;1;4;0;2
Slotervaart;5.237.113;483.575;Hotel room;75;1;0;0;0
Centrum-West;5.236.781;488.172;Entire home/apt;200;1;17;0;0
Bos en Lommer;5.238.278;485.128;Entire home/apt;250;1;0;0;0
Westerpark;5.238.654;488.316;Private room;125;3;17;15;4
Oud-Oost;5.235.595;49.083;Entire home/apt;90;20;6;0;1
Oud-Oost;5.235.707;492.563;Entire home/apt;450;3;10;341;6
Centrum-Oost;5.235.979;488.948;Private room;339;1;38;77;24
Bos en Lommer;52.378;48.503;Entire home/apt;300;1;13;66;11
Centrum-West;5.237.635.950.447.490;4.878.452.719.455.310;Entire home/apt;203;5;5;13;0
Westerpark;5.238.941;487.894;Private room;95;1;37;300;22
Centrum-West;5.238.264;488.572;Entire home/apt;7900;3;18;0;7
Noord-West;5.240.712;489.891;Entire home/apt;150;3;6;0;3
De Baarsjes - Oud-West;5.236.811;484.991;Entire home/apt;750;2;2;0;1
Centrum-West;5.237.068;487.898;Entire home/apt;250;30;5;276;3
Oud-Oost;5.236.489;492.938;Entire home/apt;179;2;5;0;3
Noord-Oost;5.240.483;494.118;Private room;73;2;68;1;41
Centrum-West;5.237.154;488.654;Private room;409;1;7;222;5
Centrum-West;5.237.274;488.716;Private room;478;1;0;217;0
Bijlmer-Centrum;5.232.595;494.496;Private room;65;3;50;49;41
Centrum-West;5.237.136;488.205;Entire home/apt;170;2;22;0;5
De Pijp - Rivierenbuurt;5.235.387;490.708;Entire home/apt;250;3;4;3;1
De Baarsjes - Oud-West;5.236.998;484.913;Private room;136;3;15;0;15
Geuzenveld - Slotermeer;5.238.265;482.872;Entire home/apt;350;2;15;7;3
Noord-West;5.241.568;489.192;Entire home/apt;115;3;16;0;5
Geuzenveld - Slotermeer;5.238.463;483.175;Entire home/apt;104;4;4;0;0
Slotervaart;5.237.189;483.567;Private room;56;5;29;30;18
Buitenveldert - Zuidas;5.233.334;485.862;Private room;195;2;7;128;2
Oostelijk Havengebied - Indische Buurt;5.236.139;493.392;Entire home/apt;335;2;11;1;4
De Baarsjes - Oud-West;5.236.704;48.501;Entire home/apt;135;2;3;6;0
Zuid;5.234.417;485.922;Entire home/apt;100;2;9;0;3
De Baarsjes - Oud-West;52.373;487.415;Entire home/apt;100;2;9;0;2
Slotervaart;5.235.944;482.482;Entire home/apt;199;2;7;9;5
Centrum-Oost;5.235.928;489.472;Entire home/apt;159;3;25;36;23
De Baarsjes - Oud-West;5.236.045;486.256;Entire home/apt;126;2;12;0;0
Slotervaart;523.651;484.018;Private room;58;1;37;0;0
Oud-Oost;5.236.022;49.258;Entire home/apt;223;2;7;0;7
Oud-Noord;5.240.108;489.329;Entire home/apt;890;2;34;294;21
Oud-Oost;5.236.063;492.799;Entire home/apt;215;2;16;1;12
Centrum-Oost;5.236.315;491.115;Entire home/apt;150;2;11;0;6
Westerpark;5.238.408;488.044;Entire home/apt;100;3;32;6;1
De Baarsjes - Oud-West;5.237.153;487.031;Entire home/apt;132;3;6;0;2
Centrum-West;5.236.625;488.025;Entire home/apt;379;1;79;36;46
Centrum-Oost;523.676;492.905;Private room;100;1;8;0;1
Noord-Oost;5.239.587;494.335;Private room;94;3;8;249;8
De Baarsjes - Oud-West;5.236.514;485.646;Entire home/apt;165;3;12;218;5
De Pijp - Rivierenbuurt;5.235.297;488.916;Entire home/apt;157;3;5;0;3
Bos en Lommer;5.237.665;485.165;Entire home/apt;84;2;4;0;0
De Pijp - Rivierenbuurt;5.234.842;489.671;Entire home/apt;210;2;7;9;4
Watergraafsmeer;5.234.519;494.826;Private room;130;1;12;5;0
Westerpark;523.809;487.008;Entire home/apt;140;2;7;98;0
Centrum-West;5.237.323;490.076;Entire home/apt;285;2;37;250;19
Oud-Oost;5.235.972;491.311;Entire home/apt;150;2;7;0;1
Westerpark;5.237.548;487.445;Entire home/apt;339;2;46;2;30
Centrum-West;5.237.172;487.508;Entire home/apt;320;2;6;0;3
De Pijp - Rivierenbuurt;5.235.764;488.919;Private room;79;2;68;20;58
Oud-Oost;5.235.227;491.337;Entire home/apt;190;4;9;6;3
Centrum-West;5.237.125;489.474;Entire home/apt;190;3;2;0;2
Westerpark;5.238.138;48.711;Entire home/apt;120;3;9;0;0
De Baarsjes - Oud-West;5.236.031;486.031;Entire home/apt;170;1;16;0;0
De Baarsjes - Oud-West;5.237.322;48.529;Entire home/apt;140;11;2;0;0
Centrum-West;523.762;488.435;Private room;370;3;1;26;0
De Baarsjes - Oud-West;5.236.173;485.403;Entire home/apt;120;2;2;44;2
Centrum-Oost;5.236.977;49.106;Private room;187;2;27;74;18
Centrum-West;5.237.613;488.273;Private room;130;2;61;257;39
Centrum-West;5.238.103;48.866;Entire home/apt;200;2;13;0;5
De Pijp - Rivierenbuurt;5.234.086;489.578;Entire home/apt;400;6;15;0;1
Centrum-Oost;5.237.072;489.997;Entire home/apt;471;3;7;59;0
Centrum-Oost;5.236.363;488.705;Entire home/apt;395;4;4;0;4
Westerpark;5.237.532;487.341;Entire home/apt;310;4;10;0;6
De Baarsjes - Oud-West;5.237.013;484.815;Entire home/apt;350;3;11;0;7
Centrum-West;5.238.117;488.052;Entire home/apt;100;3;1;0;0
Westerpark;5.238.001;487.322;Entire home/apt;112;3;6;0;0
Bos en Lommer;523.793;485.569;Entire home/apt;100;2;3;0;0
De Pijp - Rivierenbuurt;5.235.577;490.458;Private room;155;3;92;89;49
Centrum-West;523.742;48.793;Private room;228;2;56;276;25
De Aker - Nieuw Sloten;5.234.293;482.206;Private room;125;3;51;54;36
Centrum-West;5.237.103;487.953;Private room;106;2;56;144;23
De Baarsjes - Oud-West;52.366;487.556;Private room;174;3;40;264;20
Centrum-West;5.238.165;488.793;Private room;175;2;17;57;13
Slotervaart;5.236.273;48.435;Private room;80;1;2;0;0
Oud-Oost;523.521;491.165;Entire home/apt;340;2;1;0;0
Centrum-West;5.237.045;4.877;Entire home/apt;360;3;1;0;0
Oud-Noord;5.238.493;491.443;Entire home/apt;120;2;1;0;0
Oostelijk Havengebied - Indische Buurt;5.237.462;493.523;Entire home/apt;299;3;19;69;6
Centrum-Oost;5.236.415;488.719;Private room;133;29;3;156;2
Westerpark;5.238.913;488.172;Entire home/apt;600;5;2;240;2
Oostelijk Havengebied - Indische Buurt;5.236.311;493.344;Entire home/apt;365;1;4;176;0
Centrum-West;5.236.983;488.235;Private room;316;1;57;266;10
Oostelijk Havengebied - Indische Buurt;5.236.253;493.362;Private room;115;1;37;147;31
Centrum-Oost;5.237.321;490.498;Entire home/apt;355;3;16;112;8
De Pijp - Rivierenbuurt;523.571;489.136;Private room;125;2;40;54;28
Centrum-West;5.237.597;489.632;Entire home/apt;500;7;2;211;0
Centrum-West;5.237.553;489.528;Entire home/apt;613;7;6;329;6
Oostelijk Havengebied - Indische Buurt;5.236.381;493.361;Entire home/apt;135;3;0;241;0
De Baarsjes - Oud-West;5.237.366;485.632;Entire home/apt;90;6;1;0;0
Centrum-Oost;5.236.075;489.281;Entire home/apt;121;4;3;0;0
De Baarsjes - Oud-West;5.237.027;487.497;Private room;341;1;131;82;69
Zuid;5.234.879;484.801;Private room;114;1;99;10;48
IJburg - Zeeburgereiland;52.364.059;4.985.072;Private room;106;1;9;270;5
Centrum-West;5.237.894;489.298;Private room;242;1;89;17;46
Centrum-West;5.237.997;489.317;Private room;227;1;37;23;21
Centrum-West;5.237.438;490.011;Entire home/apt;1600;3;2;58;2
Centrum-Oost;5.237.218;490.386;Entire home/apt;127;2;8;5;5
Centrum-West;5.237.724;487.939;Entire home/apt;345;3;8;197;4
Noord-West;5.241.151;49.218;Entire home/apt;90;28;1;0;0
Zuid;523.485.242;48.487.749;Entire home/apt;450;3;0;11;0
De Pijp - Rivierenbuurt;5.235.681;490.033;Entire home/apt;200;2;2;0;0
Watergraafsmeer;5.234.294;492.663;Entire home/apt;74;4;10;0;0
Noord-Oost;5.239.517;493.973;Private room;110;2;35;68;33
Centrum-West;52.373.104;4.885.465;Private room;300;4;16;53;16
Oud-Noord;52.383.671;4.912.778;Private room;110;3;50;98;28
De Baarsjes - Oud-West;5.236.301;486.606;Entire home/apt;129;5;18;1;9
IJburg - Zeeburgereiland;5.236.013;498.892;Entire home/apt;239;1;105;276;41
Bos en Lommer;523.814;485.557;Entire home/apt;150;25;4;11;3
De Pijp - Rivierenbuurt;523.555;49.016;Entire home/apt;470;4;13;7;10
Centrum-Oost;5.236.373;48.844;Entire home/apt;429;2;15;334;8
De Baarsjes - Oud-West;5.236.702;48.548;Entire home/apt;120;3;6;0;0
De Pijp - Rivierenbuurt;523.525;489.785;Entire home/apt;350;6;2;0;2
Zuid;5.235.246;488.629;Entire home/apt;186;4;12;13;6
Bos en Lommer;52.375.683;4.860.004;Entire home/apt;95;28;16;57;9
Oud-Oost;5.235.297;491.858;Entire home/apt;180;3;13;0;8
Centrum-West;523.765;489.715;Entire home/apt;834;7;7;339;5
De Pijp - Rivierenbuurt;5.234.235;489.807;Entire home/apt;299;2;3;0;3
De Pijp - Rivierenbuurt;5.235.168;488.764;Entire home/apt;290;3;6;0;6
De Baarsjes - Oud-West;5.237.297;48.583;Entire home/apt;289;2;15;1;9
Centrum-West;5.238.126;488.054;Entire home/apt;100;3;3;0;0
Osdorp;5.235.412;481.285;Entire home/apt;100;4;2;0;1
Bijlmer-Oost;5.232.395;49.778;Entire home/apt;235;2;2;249;1
De Baarsjes - Oud-West;5.236.223;486.615;Entire home/apt;59;5;3;0;0
Centrum-West;5.238.107;488.524;Entire home/apt;150;1;9;0;6
De Baarsjes - Oud-West;5.235.995;485.839;Entire home/apt;90;2;2;0;2
Oud-Noord;52.383.671;4.912.778;Private room;105;3;49;94;24
De Pijp - Rivierenbuurt;5.235.216;489.717;Entire home/apt;200;7;2;0;1
De Baarsjes - Oud-West;5.237.247;485.278;Entire home/apt;125;2;10;2;5
De Baarsjes - Oud-West;5.236.327;486.791;Private room;119;2;120;224;74
De Pijp - Rivierenbuurt;523.473;491.136;Entire home/apt;169;3;6;0;4
De Pijp - Rivierenbuurt;523.524;489.722;Private room;96;1;1;0;0
Watergraafsmeer;5.234.143;494.729;Private room;60;1;14;0;0
De Pijp - Rivierenbuurt;5.235.099;489.315;Entire home/apt;200;2;16;0;12
Watergraafsmeer;5.235.564;492.943;Entire home/apt;140;3;2;0;0
Centrum-West;523.871;489.103;Private room;130;2;79;296;52
De Baarsjes - Oud-West;5.236.663;487.528;Entire home/apt;100;5;7;0;2
Centrum-Oost;5.236.914;492.395;Entire home/apt;148;3;8;73;5
De Baarsjes - Oud-West;5.236.226;485.408;Entire home/apt;100;3;3;0;0
IJburg - Zeeburgereiland;5.235.901;499.211;Entire home/apt;200;3;3;5;0
IJburg - Zeeburgereiland;5.236.214;499.284;Private room;135;2;43;347;24
De Baarsjes - Oud-West;5.236.502;486.714;Entire home/apt;165;1;9;0;6
Westerpark;5.237.968;487.098;Entire home/apt;170;3;3;0;3
Noord-Oost;5.238.955;496.155;Entire home/apt;249;2;0;71;0
Noord-West;5.241.261;490.137;Private room;85;2;0;0;0
Centrum-West;5.237.489;488.098;Private room;140;3;65;48;36
De Baarsjes - Oud-West;5.236.798;485.234;Entire home/apt;240;3;6;193;4
De Baarsjes - Oud-West;5.236.728;485.132;Private room;145;2;21;12;5
De Baarsjes - Oud-West;5.237.129;48.501;Entire home/apt;234;2;11;0;4
De Pijp - Rivierenbuurt;5.235.254;490.047;Entire home/apt;135;3;1;0;0
Centrum-Oost;5.236.782;492.389;Private room;85;2;23;160;22
Oud-Oost;5.236.199;49.272;Entire home/apt;200;2;6;74;4
Geuzenveld - Slotermeer;5.237.241;482.199;Entire home/apt;100;3;4;0;4
De Pijp - Rivierenbuurt;5.234.156;490.667;Entire home/apt;195;2;1;137;1
Centrum-Oost;5.237.356;490.379;Private room;164;2;63;33;62
De Pijp - Rivierenbuurt;5.235.705;489.023;Private room;60;2;3;0;0
Centrum-Oost;5.237.181;490.226;Private room;163;2;52;44;51
Bos en Lommer;5.237.846;486.099;Entire home/apt;217;3;13;0;0
Oud-Oost;5.236.537;492.648;Private room;152;1;20;59;17
Zuid;5.235.574;488.467;Entire home/apt;199;3;11;0;4
Bos en Lommer;52.385;485.014;Entire home/apt;102;2;2;0;0
Centrum-West;5.237.301;489.556;Entire home/apt;282;2;6;17;6
Centrum-West;5.237.296;489.538;Entire home/apt;336;2;34;78;17
IJburg - Zeeburgereiland;5.235.686;49.883;Entire home/apt;200;3;3;0;2
Oud-Noord;5.239.678;490.648;Private room;55;1;1;0;1
Geuzenveld - Slotermeer;5.238.243;483.416;Entire home/apt;250;4;6;0;3
De Pijp - Rivierenbuurt;5.234.972;489.244;Entire home/apt;391;4;1;1;0
Centrum-Oost;5.236.371;490.745;Entire home/apt;396;2;12;2;6
De Pijp - Rivierenbuurt;5.234.473;488.778;Entire home/apt;275;3;5;0;2
Bijlmer-Centrum;5.230.556;495.317;Private room;161;3;37;40;29
Slotervaart;5.235.289;483.297;Entire home/apt;65;1;12;0;11
IJburg - Zeeburgereiland;5.235.542;500.276;Entire home/apt;500;7;0;154;0
Westerpark;5.237.297;487.179;Entire home/apt;170;1;1;0;0
Bos en Lommer;5.237.614;486.183;Private room;110;1;7;249;7
Oud-Oost;5.235.077;491.145;Private room;119;2;9;99;3
Watergraafsmeer;5.235.314;494.292;Entire home/apt;245;4;1;90;1
Centrum-Oost;523.626;490.141;Entire home/apt;279;3;9;6;4
Oostelijk Havengebied - Indische Buurt;523.644;493.383;Entire home/apt;138;2;3;0;0
Centrum-West;5.236.695;487.816;Entire home/apt;350;2;10;138;7
Centrum-West;5.237.392;489.635;Private room;309;1;0;0;0
Centrum-West;5.237.392;489.635;Shared room;93;1;1;0;0
Centrum-Oost;5.236.435;488.095;Entire home/apt;485;1;79;178;47
Bos en Lommer;5.238.193;484.901;Entire home/apt;90;2;14;0;8
Watergraafsmeer;5.235.194;492.174;Entire home/apt;190;4;3;5;1
De Baarsjes - Oud-West;5.237.131;485.792;Entire home/apt;204;2;0;0;0
Gaasperdam - Driemond;5.229.794;49.753;Entire home/apt;100;1;4;0;0
De Baarsjes - Oud-West;5.236.233;485.704;Private room;200;2;2;0;2
De Baarsjes - Oud-West;5.236.073;485.785;Entire home/apt;263;3;9;118;6
Oostelijk Havengebied - Indische Buurt;5.237.669;494.029;Private room;169;2;43;128;13
IJburg - Zeeburgereiland;5.235.998;497.873;Entire home/apt;175;2;12;249;12
Zuid;523.405;484.837;Entire home/apt;350;10;0;249;0
Centrum-Oost;5.236.523;488.197;Private room;143;2;9;0;7
De Baarsjes - Oud-West;5.236.697;486.057;Entire home/apt;180;5;5;0;1
Oostelijk Havengebied - Indische Buurt;5.237.863;493.929;Private room;169;2;11;110;7
Centrum-West;523.742;48.793;Private room;217;2;35;271;15
Zuid;5.234.819;486.944;Entire home/apt;350;3;1;0;0
Oud-Oost;5.235.745;492.443;Entire home/apt;200;3;10;0;10
Centrum-West;5.237.867;488.694;Entire home/apt;409;7;24;44;20
Centrum-Oost;5.237.037;490.595;Private room;151;3;33;101;27
Zuid;5.234.634;484.611;Entire home/apt;198;3;0;0;0
Westerpark;5.238.512;488.201;Entire home/apt;298;1;21;248;14
De Pijp - Rivierenbuurt;5.235.028;488.688;Entire home/apt;250;3;2;5;2
Gaasperdam - Driemond;5.229.945;499.795;Private room;50;2;0;64;0
Watergraafsmeer;5.234.911;491.461;Entire home/apt;270;7;26;85;13
Centrum-West;523.746;487.826;Private room;461;1;26;255;20
Centrum-West;5.237.666;489.227;Entire home/apt;290;3;0;0;0
Buitenveldert - Zuidas;5.232.594.584.864.800;4.878.762.276.995.410;Entire home/apt;110;1;13;255;7
Centrum-West;5.237.392;489.635;Shared room;89;1;1;0;0
Centrum-West;5.237.392;489.635;Private room;297;1;1;0;0
Centrum-West;5.237.392;489.635;Private room;206;1;0;0;0
Zuid;5.235.225.618.307.970;4.851.526.357.233.520;Entire home/apt;350;5;0;65;0
Oostelijk Havengebied - Indische Buurt;5.236.574;493.955;Entire home/apt;671;4;2;24;1
De Pijp - Rivierenbuurt;5.235.581;489.958;Entire home/apt;166;2;2;0;0
Oostelijk Havengebied - Indische Buurt;5.237.558;492.384;Shared room;500;2;0;0;0
Noord-Oost;5.240.476;492.506;Entire home/apt;271;1;8;272;8
Centrum-Oost;523.725;49.133;Private room;222;1;0;161;0
Noord-Oost;5.239.867;492.816;Entire home/apt;209;3;0;7;0
Oud-Noord;5.238.846;491.704;Entire home/apt;120;2;6;21;6
Noord-West;5.241.685;490.557;Entire home/apt;195;3;6;0;5
De Baarsjes - Oud-West;5.236.441;486.304;Entire home/apt;90;4;13;0;11
IJburg - Zeeburgereiland;5.234.975;499.623;Entire home/apt;350;4;0;9;0
De Baarsjes - Oud-West;5.236.712;4.861;Entire home/apt;300;2;3;26;3
Noord-West;5.240.532;490.247;Entire home/apt;180;3;6;0;4
De Baarsjes - Oud-West;5.237.174;486.349;Private room;100;1;2;0;0
Centrum-West;5.237.054;488.865;Private room;465;1;4;311;1
Centrum-West;5.237.054;488.865;Private room;525;1;0;303;0
IJburg - Zeeburgereiland;5.237.379;496.641;Private room;109;2;34;105;6
Geuzenveld - Slotermeer;5.237.458;482.113;Entire home/apt;300;6;0;0;0
Centrum-Oost;5.236.217;489.395;Private room;150;2;34;53;29
Centrum-West;5.237.654;488.907;Entire home/apt;950;7;14;201;5
De Baarsjes - Oud-West;52.362.602;4.876.399;Entire home/apt;214;2;4;154;4
Bijlmer-Oost;523.268.061;49.823.534;Entire home/apt;120;3;3;0;3
Oud-Oost;5.236.005;49.074;Entire home/apt;214;3;5;1;4
De Baarsjes - Oud-West;5.236.484;486.671;Entire home/apt;108;5;0;0;0
IJburg - Zeeburgereiland;5.237.337;496.672;Private room;65;2;25;3;7
Oostelijk Havengebied - Indische Buurt;5.236.623;493.611;Private room;80;2;0;0;0
Centrum-Oost;52.360.874;4.898.341;Private room;167;3;63;0;45
Bijlmer-Centrum;5.231.874;495.478;Private room;181;3;29;248;23
Centrum-Oost;5.236.755;491.315;Entire home/apt;380;3;10;255;8
Watergraafsmeer;5.233.673;493.147;Private room;71;2;0;0;0
Watergraafsmeer;5.233.677;493.309;Private room;71;2;0;0;0
Centrum-Oost;5.236.621;489.658;Entire home/apt;425;2;3;0;0
De Baarsjes - Oud-West;5.237.022;487.201;Private room;57;3;65;0;52
De Pijp - Rivierenbuurt;5.235.748;489.735;Private room;204;3;91;220;57
Buitenveldert - Zuidas;5.232.866;485.797;Entire home/apt;76;1;0;0;0
Zuid;5.235.228;4.854.425;Entire home/apt;298;3;1;1;0
Centrum-Oost;5.236.208;489.492;Private room;206;2;4;219;3
Centrum-West;5.236.937;488.695;Private room;100;1;12;0;0
Osdorp;5.235.937;475.571;Entire home/apt;100;2;75;3;47
Oud-Noord;5.239.464;490.554;Entire home/apt;195;5;7;0;4
Westerpark;5.237.978;486.823;Entire home/apt;279;2;9;0;7
Centrum-West;5.237.426;489.926;Private room;140;1;57;301;53
Centrum-Oost;5.235.913;489.555;Private room;100;3;16;0;13
Slotervaart;5.234.601;482.935;Private room;272;1;202;353;59
Slotervaart;5.234.776;482.908;Private room;292;1;15;360;3
Slotervaart;5.234.615;483.064;Private room;272;1;310;333;54
Watergraafsmeer;5.233.645;493.114;Private room;71;2;1;0;1
Watergraafsmeer;5.233.701;493.136;Private room;71;2;0;0;0
IJburg - Zeeburgereiland;5.236.308;498.512;Private room;90;2;22;93;22
Zuid;523.528;486.579;Entire home/apt;550;3;7;153;5
Centrum-Oost;5.237.007;491.076;Private room;188;2;14;62;11
Buitenveldert - Zuidas;5.233.474;484.842;Private room;171;2;41;297;29
Watergraafsmeer;5.233.696;493.201;Entire home/apt;422;2;16;182;14
Watergraafsmeer;5.233.681;493.101;Private room;71;2;0;0;0
De Pijp - Rivierenbuurt;523.574;490.295;Entire home/apt;306;1;16;0;15
Watergraafsmeer;5.233.688;493.257;Private room;71;2;0;0;0
Watergraafsmeer;523.362;493.063;Entire home/apt;360;2;26;162;23
Watergraafsmeer;5.233.644;493.256;Private room;71;2;0;5;0
Watergraafsmeer;5.233.652;493.064;Private room;71;2;0;24;0
Watergraafsmeer;5.233.663;49.326;Private room;124;2;5;0;0
Bijlmer-Centrum;5.231.585;493.888;Entire home/apt;135;2;6;0;0
De Pijp - Rivierenbuurt;5.234.036;490.611;Private room;91;1;58;266;37
Slotervaart;523.646.676;4.841.393.699.999.990;Entire home/apt;325;1;0;319;0
Centrum-West;5.238.361;489.455;Private room;159;3;51;15;32
Centrum-West;5.238.382;489.268;Private room;159;3;45;13;33
Centrum-West;5.238.509;489.383;Private room;224;3;21;19;21
Centrum-West;5.238.357;489.435;Private room;225;3;45;30;33
Centrum-West;5.238.482;489.273;Private room;250;3;54;29;36
Westerpark;5.238.205;4.876;Entire home/apt;240;18;1;0;0
Oud-Oost;5.235.998;492.354;Private room;112;2;38;3;31
Bos en Lommer;5.238.322;484.625;Hotel room;0;1;0;0;0
Westerpark;5.237.935.000.938.660;4.868.198.563.958.550;Entire home/apt;185;1;1;12;1
Oud-Noord;5.239.078;492.556;Private room;87;2;27;309;27
De Baarsjes - Oud-West;5.236.279;487.458;Hotel room;0;1;0;0;0
Centrum-West;5.236.964;488.004;Hotel room;0;1;42;0;38
Oud-Oost;5.235.532;491.381;Entire home/apt;325;4;2;9;2
Centrum-Oost;5.237.754;490.699;Entire home/apt;393;1;176;293;68
Centrum-Oost;5.237.754;490.699;Entire home/apt;581;1;36;324;24
Centrum-Oost;5.237.754;490.699;Entire home/apt;711;1;241;325;148
IJburg - Zeeburgereiland;5.235.651;499.681;Entire home/apt;275;4;2;78;2
Zuid;5.234.527;486.177;Private room;106;4;7;141;7
Oud-Oost;5.235.681;492.164;Entire home/apt;120;2;11;0;10
Centrum-West;5.236.912;488.225;Private room;165;2;108;83;69
Centrum-Oost;5.236.833;493.082;Private room;55;1;11;0;5
De Aker - Nieuw Sloten;5.235.178;47.862;Entire home/apt;175;14;0;126;0
De Pijp - Rivierenbuurt;5.234.069;490.603;Private room;67;1;69;293;46
Bos en Lommer;5.237.605;4.849;Entire home/apt;200;5;2;249;2
De Baarsjes - Oud-West;5.236.549;487.887;Entire home/apt;443;3;11;0;4
Bos en Lommer;523.815;485.271;Private room;70;2;53;0;46
De Pijp - Rivierenbuurt;5.235.513;490.071;Entire home/apt;240;1;36;28;6
De Pijp - Rivierenbuurt;5.235.872;488.911;Entire home/apt;320;4;20;4;13
Westerpark;5.237.446;487.129;Entire home/apt;400;6;19;0;12
Oud-Oost;5.235.633;492.687;Entire home/apt;140;1;6;0;6
De Pijp - Rivierenbuurt;52.348.312;4.906.815;Entire home/apt;250;14;0;0;0
Bos en Lommer;5.238.367;485.061;Entire home/apt;160;4;11;0;7
De Pijp - Rivierenbuurt;5.235.335;489.065;Entire home/apt;190;3;3;0;3
Geuzenveld - Slotermeer;5.237.285;483.154;Entire home/apt;125;1;3;0;0
IJburg - Zeeburgereiland;5.235.674;499.956;Entire home/apt;200;7;0;0;0
Centrum-West;5.237.633;489.119;Entire home/apt;904;7;5;201;3
Centrum-West;5.236.786;487.736;Entire home/apt;271;4;12;0;9
Bos en Lommer;5.238.192;484.902;Entire home/apt;155;2;3;0;3
Centrum-West;5.237.265;488.417;Private room;110;2;0;0;0
Oostelijk Havengebied - Indische Buurt;5.236.785;494.538;Private room;334;1;84;363;63
Centrum-West;5.238.029;488.731;Private room;194;1;2;210;2
Centrum-West;5.237.493;488.893;Private room;246;2;50;51;29
Centrum-Oost;523.675;489.768;Private room;142;3;59;124;46
Oostelijk Havengebied - Indische Buurt;5.237.914;492.655;Entire home/apt;280;1;38;307;23
De Pijp - Rivierenbuurt;5.235.115;490.429;Entire home/apt;175;2;1;0;0
Centrum-West;5.237.725;489.186;Private room;160;2;20;303;15
Centrum-West;5.237.799;488.549;Shared room;275;2;20;7;18
Geuzenveld - Slotermeer;5.238.457;483.319;Private room;177;1;4;345;2
Geuzenveld - Slotermeer;5.238.432;483.295;Private room;193;1;15;362;9
Centrum-Oost;52.360.924;4.898.329;Private room;300;3;33;138;29
Geuzenveld - Slotermeer;5.238.461;483.364;Private room;280;1;33;358;8
Geuzenveld - Slotermeer;5.238.458;483.325;Private room;280;1;1;349;0
Geuzenveld - Slotermeer;5.238.456;483.308;Private room;226;1;2;362;0
Geuzenveld - Slotermeer;5.238.432;483.181;Private room;257;1;1;310;0
De Pijp - Rivierenbuurt;5.234.249;49.065;Entire home/apt;400;2;1;75;1
Oud-Noord;5.238.845;492.262;Entire home/apt;350;2;8;170;8
Centrum-Oost;5.236.531;488.578;Hotel room;0;1;0;0;0
De Baarsjes - Oud-West;5.236.164;486.061;Entire home/apt;150;5;1;32;0
Centrum-Oost;5.237.036;490.574;Hotel room;0;1;0;0;0
Bijlmer-Centrum;5.230.751;495.422;Private room;161;3;56;48;40
Centrum-West;5.238.066;488.726;Private room;170;1;12;226;12
Bijlmer-Centrum;5.230.752;495.341;Private room;161;3;61;36;42
Bijlmer-Oost;5.231.458;498.477;Private room;57;1;70;15;69
Centrum-West;523.747;488.926;Private room;261;2;11;50;8
IJburg - Zeeburgereiland;5.235.134;500.153;Entire home/apt;350;6;8;155;7
Centrum-Oost;52.372.486;4.902.688;Private room;160;5;34;53;26
Centrum-Oost;5.237.253;490.261;Private room;160;5;38;46;30
Watergraafsmeer;523.386;491.947;Entire home/apt;90;3;19;0;12
;;;;;;;;
Slotervaart;5.236.332;484.266;Entire home/apt;150;4;9;118;1
Centrum-West;5.236.789;488.094;Entire home/apt;85;2;6;2;2
Oud-Oost;5.236.007;490.727;Entire home/apt;115;2;6;0;0
De Pijp - Rivierenbuurt;5.235.294;489.823;Private room;286;1;0;312;0
De Pijp - Rivierenbuurt;5.235.271;48.967;Private room;272;1;7;339;3
